id,alive,request,resolve,url,subdomain,level,cname,ip,public,cdn,port,status,reason,title,banner,cidr,asn,org,addr,isp,source
10,1,1,1,http://44k.c2.com,44k.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
21,1,1,1,https://44k.c2.com,44k.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,IP138Query
17,1,1,1,http://apps1.z1.c2.com,apps1.z1.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
53,1,1,1,https://apps1.z1.c2.com,apps1.z1.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
35,1,1,1,http://apps2.z2.c2.com,apps2.z2.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
59,1,1,1,https://apps2.z2.c2.com,apps2.z2.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
55,1,1,1,http://blog-imgs-44.c2.com,blog-imgs-44.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,RapidDNSQuery
58,1,1,1,https://blog-imgs-44.c2.com,blog-imgs-44.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,RapidDNSQuery
14,1,1,1,http://c2.c2.com,c2.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
29,1,1,1,https://c2.c2.com,c2.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
1,1,1,1,http://c2.com,c2.com,0,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,MySSLQuery
12,1,1,1,https://c2.com,c2.com,0,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,MySSLQuery
44,1,1,1,http://cherrybord.blog.c2.com,cherrybord.blog.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,RapidDNSQuery
56,1,1,1,https://cherrybord.blog.c2.com,cherrybord.blog.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,RapidDNSQuery
19,1,1,1,http://fit.c2.com,fit.c2.com,1,c2.com,198.199.96.69,1,0,80,200,OK,Wiki: Welcome Visitors,Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
45,1,1,1,https://fit.c2.com,fit.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
26,1,1,1,http://hanawikiki.psu-capstone.c2.com,hanawikiki.psu-capstone.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
43,1,1,1,https://hanawikiki.psu-capstone.c2.com,hanawikiki.psu-capstone.c2.com,2,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
61,0,0,1,https://home.c2.com,home.c2.com,1,home.c2.com,73.157.190.193,1,0,443,,"(ReadTimeoutError(""HTTPSConnectionPool(host='home.c2.com', port=443): Read timed out. (read timeout=13)""),)",,,73.128.0.0/9,AS7922,COMCAST-7922,美国华盛顿,康卡斯特,SiteDossierQuery
64,0,0,1,http://home.c2.com,home.c2.com,1,home.c2.com,73.157.190.193,1,0,80,,"(ReadTimeoutError(""HTTPConnectionPool(host='home.c2.com', port=80): Read timed out. (read timeout=27)""),)",,,73.128.0.0/9,AS7922,COMCAST-7922,美国华盛顿,康卡斯特,SiteDossierQuery
8,1,1,1,http://hostmaster.c2.com,hostmaster.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,QuerySOA
16,1,1,1,https://hostmaster.c2.com,hostmaster.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,QuerySOA
13,0,1,1,http://interview.c2.com,interview.c2.com,1,c2.com,198.199.96.69,1,0,80,500,Internal Server Error,500 Internal Server Error,Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
39,1,1,1,https://interview.c2.com,interview.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
20,1,1,1,http://mail.c2.com,mail.c2.com,1,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
30,1,1,1,https://mail.c2.com,mail.c2.com,1,c2.com,198.199.96.69,1,1,443,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,SiteDossierQuery
28,1,1,1,http://monitor.psu-capstone.c2.com,monitor.psu-capstone.c2.com,2,c2.com,198.199.96.69,1,1,80,200,OK,"Cunningham & Cunningham, Inc.",Apache,198.199.96.0/20,AS14061,DIGITALOCEAN-ASN,美国加利福尼亚旧金山,未知,DnsgrepQuery
